"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.47","43.78","TORONTO NORTH YORK","615S001","2017-01-01","2017","01","01","†","3.0","","-2.5","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2017-01-02","2017","01","02","†","4.5","","-5.0","","-0.3","","18.3","","0.0","","3.4","","0.0","","3.4","","6","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2017-01-03","2017","01","03","†","4.0","","2.5","","3.3","","14.7","","0.0","","16.0","","0.0","","16.0","","5","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2017-01-04","2017","01","04","†","1.5","","-7.0","","-2.8","","20.8","","0.0","","0.0","","0.0","T","0.0","","2","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2017-01-05","2017","01","05","†","-6.5","","-9.0","","-7.8","","25.8","","0.0","","0.0","","0.0","T","0.0","","2","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2017-01-06","2017","01","06","†","-7.0","","-13.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2017-01-07","2017","01","07","†","-7.5","","-15.0","","-11.3","","29.3","","0.0","","0.0","","0.0","T","0.0","","2","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2017-01-08","2017","01","08","†","-7.0","","-12.5","","-9.8","","27.8","","0.0","","0.0","","0.0","T","0.0","","2","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2017-01-09","2017","01","09","†","-1.5","","-13.0","","-7.3","","25.3","","0.0","","0.0","","5.0","","3.8","","2","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2017-01-10","2017","01","10","†","7.5","","-4.5","","1.5","","16.5","","0.0","","14.4","","2.8","","18.2","","8","","","","",""
