"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.47","43.78","TORONTO NORTH YORK","615S001","2019-01-01","2019","01","01","†","0.5","","-3.0","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2019-01-02","2019","01","02","†","0.0","","-11.0","","-5.5","","23.5","","0.0","","0.0","","5.6","","3.6","","0","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2019-01-03","2019","01","03","†","2.0","","-4.5","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2019-01-04","2019","01","04","†","8.0","","-0.5","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2019-01-05","2019","01","05","†","4.0","","-3.0","","0.5","","17.5","","0.0","","0.0","","0.0","T","0.0","","3","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2019-01-06","2019","01","06","†","1.5","","-2.5","","-0.5","","18.5","","0.0","","0.0","","0.0","T","0.0","","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2019-01-07","2019","01","07","†","8.5","","-9.5","","-0.5","","18.5","","0.0","","3.2","","0.0","T","3.2","","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2019-01-08","2019","01","08","†","6.0","","-3.0","","1.5","","16.5","","0.0","","3.0","","0.0","T","3.0","","0","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2019-01-09","2019","01","09","†","0.5","","-2.5","","-1.0","","19.0","","0.0","","0.0","","0.6","","1.2","","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2019-01-10","2019","01","10","†","-5.5","","-8.5","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2019-01-11","2019","01","11","†","-7.5","","-14.0","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2019-01-12","2019","01","12","†","-4.5","","-10.5","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2019-01-13","2019","01","13","†","-5.0","","-12.5","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2019-01-14","2019","01","14","†","0.0","","-10.5","","-5.3","","23.3","","0.0","","0.0","","0.0","T","0.0","","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2019-01-15","2019","01","15","†","0.5","","-5.0","","-2.3","","20.3","","0.0","","0.0","T","0.0","T","0.0","T","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2019-01-16","2019","01","16","†","-0.5","","-8.0","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2019-01-17","2019","01","17","†","-2.5","","-14.5","","-8.5","","26.5","","0.0","","0.0","","1.8","","1.2","","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2019-01-18","2019","01","18","†","0.0","","-6.0","","-3.0","","21.0","","0.0","","0.0","","0.0","T","0.0","","2","","","","",""
