"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.47","43.78","TORONTO NORTH YORK","615S001","2014-01-01","2014","01","01","†","-10.0","","-14.0","","-12.0","","30.0","","0.0","","0.0","","0.0","T","0.0","T","15","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2014-01-02","2014","01","02","†","-16.5","","-19.5","","-18.0","","36.0","","0.0","","0.0","","0.6","","0.4","","14","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2014-01-03","2014","01","03","†","-6.0","","-25.0","","-15.5","","33.5","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2014-01-04","2014","01","04","†","0.0","","-15.5","","-7.8","","25.8","","0.0","","0.0","","2.6","","3.0","","14","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2014-01-05","2014","01","05","†","1.0","","-3.5","","-1.3","","19.3","","0.0","","5.0","","9.6","","16.2","","16","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2014-01-06","2014","01","06","†","-5.0","","-9.5","","-7.3","","25.3","","0.0","","0.0","","0.0","T","0.0","T","22","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2014-01-07","2014","01","07","†","-14.0","","-24.5","","-19.3","","37.3","","0.0","","0.0","","0.0","T","0.0","T","22","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2014-01-08","2014","01","08","†","-8.0","","-18.5","","-13.3","","31.3","","0.0","","0.0","","0.0","T","0.0","T","22","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2014-01-09","2014","01","09","†","-2.0","","-16.5","","-9.3","","27.3","","0.0","","0.0","","3.0","","2.4","","21","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2014-01-10","2014","01","10","†","2.0","","-12.0","","-5.0","","23.0","","0.0","","7.0","","0.0","","7.0","","23","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2014-01-11","2014","01","11","†","6.5","","0.5","","3.5","","14.5","","0.0","","2.8","","0.0","","2.8","","18","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2014-01-12","2014","01","12","†","3.5","","0.5","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2014-01-13","2014","01","13","†","7.0","","-4.0","","1.5","","16.5","","0.0","","0.0","T","0.0","","0.0","T","13","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2014-01-14","2014","01","14","†","4.5","","1.0","","2.8","","15.2","","0.0","","0.0","","0.0","T","0.0","T","9","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2014-01-15","2014","01","15","†","0.0","","-2.5","","-1.3","","19.3","","0.0","","0.0","","0.0","T","0.0","T","9","","","","",""
